station_name,ride_count
Streeter Dr & Grand Ave,53104
Lake Shore Dr & Monroe St,39238
Millennium Park,21749
Michigan Ave & Oak St,21388
Shedd Aquarium,20617
Lake Shore Dr & North Blvd,18952
Theater on the Lake,15027
Dusable Harbor,12546
Michigan Ave & Washington St,12228
Adler Planetarium,11928
Michigan Ave & 8th St,9525
Montrose Harbor,8188
Indiana Ave & Roosevelt Rd,8029
Columbus Dr & Randolph St,7822
Field Museum,7654
McClurg Ct & Illinois St,6977
Michigan Ave & Jackson Blvd,6917
Clark St & Lincoln Ave,6715
Clark St & Armitage Ave,6608
Lake Shore Dr & Ohio St,6379
