station_name,ride_count
Canal St & Adams St,50575
Clinton St & Madison St,45990
Clinton St & Washington Blvd,45378
Columbus Dr & Randolph St,31370
Franklin St & Monroe St,30832
Kingsbury St & Kinzie St,30654
Daley Center Plaza,30423
Canal St & Madison St,27138
Michigan Ave & Washington St,25468
LaSalle St & Jackson Blvd,23021
Clinton St & Lake St,21567
Clark St & Elm St,21485
Orleans St & Merchandise Mart Plaza,21356
Wells St & Huron St,21143
Larrabee St & Kingsbury St,20904
Dearborn St & Erie St,20232
Desplaines St & Kinzie St,19427
Wells St & Concord Ln,18622
Wabash Ave & Grand Ave,18505
Dearborn St & Monroe St,18144
